name,city,neighborhood,summary
Asian Spicy Curry,New York,Chinatown,In Chinatown near the quieter southern end of Mulberry Street stands Mama Eatery a restaurant with Chinese characters on the window and Western food on the menu (French toast for breakfast linguine pomodoro for lunch). Come dark the dining room dims and butcher paper is neatly clipped over the metal tabletops. The quick set change signals the arrival of a new chef in the kitchen Yip Khuan Thye a native of Kuala Lumpur Malaysia bearing curry leaves and candlenuts. The curries on the nocturnal menu are priced at $6 or $7 each a small world. Some are curry soups with cloudy rust-red broths that suggest cream of velvet and a choice of noodles in three widths others hefty plates of chicken or beef paired with jasmine rice or crescents of flaking roti. Ms. Yip is no youngster trying to break into the restaurant business; sheÍ¢‘„‘s a home cook who for years contented herself with feeding friends. The owner of Mama Eatery David Ma and his daughter Michelle an architect hope to win her a wider audience here.
Bruno Pizza,New York,East Village,BrunoÍ¢‘„‘s chefs Justin Slojkowski and Dave Gulino mill the flour for their pizza dough in the basement from whole New York State wheat berries and ferment it slowly with a sourdough starter. Few if any local pizzerias go to these lengths and you wonÍ¢‘„‘t taste a crust like BrunoÍ¢‘„‘s anywhere else. What the raised perimeter lacks in crunch it makes up for in earthy whole-grain flavor. When it comes to toppings the chefs donÍ¢‘„‘t play it safe either. Their nearest approach to a classic pie is their margherita with a sauce that incorporates sweet juicy garlic and some fermented tomatoes. The appetizers are more perplexing. As a lot they look more interesting than they are.
Momofuku Ko,New York,East Village,David ChangÍ¢‘„‘s original Momofuku Ko was a daring experiment that asked: If you aspired to serve food as original and refined as anything in an expensive uptown restaurant but wanted to keep prices down exactly how many amenities could you strip out? The answer turned out to be Í¢‘„‘ñNot quite that many Dave\u201d but the question was the right one at the right time. With KoÍ¢‘„‘s move to a larger space a few blocks south that experiment officially ended. The new Ko has amenities galore and a price to match. There is a high degree of finesse in executive chef Sean GrayÍ¢‘„‘s $175 tasting menus much more comfort for cooks and diners alike and wine in uncannily delicate glasses from some of the worldÍ¢‘„‘s most revered grape stompers. The restaurant is not an experiment but rather a statement of what fancy dining has become in large part due to the influence of the original. 
Safari,,Harlem,Safari which may be the only Somali restaurant in New York City stands on a stretch of 116th Street known as Le Petit SÍ—‘©nÍ—‘©gal for the thousands of West African immigrants who make their home in the neighborhood. Somalia is on the opposite coast and the food here bears little resemblance to the viscous West African stews found elsewhere on the strip. There are fine heaps of meat underscored by African birdseye chiles; influences from across the gulf and the Arabian Sea; and turmeric-tinged rice nestled companionably beside pasta in a quasi-Alfredo sauce of coconut and cowÍ¢‘„‘s milks imbued with oregano rosemary and basil Í¢‘„‘î a legacy of SomaliaÍ¢‘„‘s half-century of Italian occupation. Traditionally a banana comes with every Somali meal. But after some confused diners refused the fruit early on the owner Muymuuna Birjeeb who goes by Mona considered handing them out only to fellow Somalis who would understand. If youÍ¢‘„‘re offered one be grateful.
Wildair,,Lower East Side,The chefs Jeremiah Stone and Fabian von Hauske opened this wine bar two doors down Orchard Street from their showcase restaurant Contra. In a subtle and charming way the kid upstages his big brother. Wildair borrows its format from contemporary European wine bars such as Manfreds &amp; Vin in Copenhagen and Le Dauphin in Paris places that extend a hand inviting us to try something new drink a strange gamay bottled by an ornery old hermit eat a little of this and a little more of that while we catch up and unwind and make plans. The food at Wildair isnÍ¢‘„‘t necessarily better but itÍ¢‘„‘s often more inventive. You wouldnÍ¢‘„‘t guess that from scanning the menu reading down from oysters and cheese to fried squid and steak. Mr. Stone and Mr. von Hauske are serving familiar likable food but instead of tying them down this seems to have given them permission to lift off with extra altitude.
Goa Taco,New York,Lower East Side,Goa Taco serves in theory tacos. They are half-moon in shape but in lieu of a thin pliant tortilla fillings Í¢‘„‘î Chinese five-spice duck confit say or Oaxacan-style achiote lamb with Greek tzatziki Í¢‘„‘î are trapped inside paratha a many-layered Indian flatbread built like a chapbook of dough each leaf inscribed with ghee. Some might call these sandwiches. But grant Goa Taco a little poetic license: its tacos by any other name would be as delicious. Duvaldi Marneweck the chef and owner grew up in Pretoria South Africa and has cooked in England and Australia. He hasnÍ¢‘„‘t made it to Goa; the restaurantÍ¢‘„‘s name comes from Australian slang (Í¢‘„‘ñI could really go a beer mate\u201d). But it also carries a whiff of longing for a distant as yet unseen shore.
Houseman,New York,Hudson Square,HousemanÍ¢‘„‘s menu is laid out like a newspaperÍ¢‘„‘s front page. The date runs at the top to the left of the restaurantÍ¢‘„‘s name. A weather report is on the right. In the middle is a cryptic drawing of what might be a pumpkin with dangerous ideas. All around him are boxes occupied by dishes that change daily. You donÍ¢‘„‘t taste HousemanÍ¢‘„‘s food in politely appreciative nibbles. You throw yourself at it until thereÍ¢‘„‘s nothing left. No menu layout can convey this quality but when you find a restaurant that has it you come back. Houseman has it. 
Gabriel Kreuther,,Midtown,When the chef Gabriel Kreuther left the Modern in 2013 he seems to have packed up virtually everything except PicassoÍ¢‘„‘s goat in the sculpture garden. He named the place he opened on 42nd Street after himself but it could just as easily be called the Modern in Exile. He took along the ModernÍ¢‘„‘s pastry chef Marc Aumont a virtuoso of desserts and breads. He replicated its two-in-one structure too. In the bar where gooseneck streetlamps crane out over low tables he has an approachable menu some of it Alsatian. Things get far more elaborate once you enter the dining room behind a ring of rough timber columns. And of course Mr. Kreuther brought his recipes. His cooking makes an irresistible case for the power of classical European techniques all the blade-flicking and stock-skimming tricks that Mr. Kreuther swings around so easily.
LucyÍ¢‘„‘s Vietnamese Kitchen,Brooklyn,Bushwick,Pho chay the vegetarian version of pho bo Vietnamese beef-broth noodle soup is often mild and self-effacing perhaps in keeping with its Buddhist origins. At LucyÍ¢‘„‘s Vietnamese Kitchen however it has a bold near-funk from long-simmering shiitake mushrooms charred shallots ginger and a suffusion of spices. The broth as crystalline as consommÍ—‘© is lovely in its pristine state but even better besmirched by brisket that has been smoked for 14 hours and lands in the bowl with dark fringes and the juices running. The young chef Phuoc Huynh known as Johnny grew up Í¢‘„‘î and still lives Í¢‘„‘î in an apartment a block away with his grandmother (Lucy of course) who raised him.
Casa Mono,New York,Gramercy Park,Founded by Mario Batali and Joe Bastianich in 2003 Casa Mono was among the earliest and most influential restaurants to twist the Spanish tapas idiom into what New Yorkers learned to call small-plates dining. Andy Nusser the executive chef and an owner kept the tapas fairly uncomplicated in the early days. But Anthony Sasso chef de cuisine under Mr. Nusser has led the kitchen into cooking that a Catalan tapas-bar proprietor might squint at before deciding that tapas do not always need to be interpreted with a strict-constructionist approach. In a miracle of space management this tiny restaurant keeps what has to be the deepest most pleasure-packed trove of Spanish wine in the city.
Babu Ji,New York,East Village,Babu Ji stands half a mile from the East VillageÍ¢‘„‘s declining Curry Row where Indian restaurants once huddled shoulder to shoulder epauletted in twinkle lights and nearly indistinguishable. The distance is calculated: Babu JiÍ¢‘„‘s menu is succinct rather than sprawling the dining room a sleek diagram of black floors white walls and gray tables with pops of color from Bollywood films flickering by the bar. And the food is remarkably fresh and light. Jessi Singh the chef grew up working the family farm first in a village in northern India and later in a series of Australian outback towns. At times his approach to Indian cuisine is overly subtle but itÍ¢‘„‘s hard to resist the elegantly feral plates overgrown with leaves flowers and berries.
Superiority Burger,,East Village,New ideas fly through Superiority BurgerÍ¢‘„‘s kitchen so quickly you can almost hear them buzz by. This is what elevates the place above what it appears to be at first glance a Shake Shack for vegetarians. Bright original sandwiches and sides arrive out of nowhere and disappear a day or a week later. Some things you can be sure of finding every time like the meatless sloppy Joe with tofu in a riotously spicy tomato sauce and the veggie wrap that for once does not taste like pulverized drywall moistened with MorrisseyÍ¢‘„‘s tears. Some beef eaters may find the meatless burger almost too convincing; it takes you almost all the way then stops. Dessert which changes nightly of course is a two-scoop duet of sorbet and ice cream both exceptional; there is probably not a more meticulously put together $4 dessert in the city.
The Food Sermon,Brooklyn,Crown Heights,A theology-school dropout who found salvation in the kitchen Rawlston Williams the chef at the Food Sermon grew up in St. Vincent and the Grenadines. Caribbean food is a mainstay of Crown Heights; what elevates the dishes here is the extraordinary brightness of the flavors as if a veil has dropped. Mr. Williams has a particular gift for meat achieving tenderness without surrendering flavor. (This despite having been raised as a Seventh-day Adventist vegetarian.) He never intended the Food Sermon to be a restaurant just a catering kitchen with a few dishes for standing-room-only customers. Then the neighbors came crowding in. For those who live farther way his patient thoughtful cooking is worth a pilgrimage.
The Clocktower,New York,Midtown South,The Clocktower plays a familiar game the private club that has accidentally let you in. Above the wainscoting of book-matched burl and below the wedding-cake crown moldings hang framed photographs in black and white one above another gallery style. They show celebrities from the 1950s Í¢‘„‘ƒ60s and Í¢‘„‘ƒ70s dozens and dozens of them. When you ask about one a server brings you an explanatory booklet printed on heavy paper stock. Luckily the Clocktower only looks clubby. In spirit itÍ¢‘„‘s accessible. The cooking of Jason Atherton an English chef who worked under Gordon Ramsay has the peculiar idea of cooking to make other people happy not to reflect his own glory. There are nods to English tradition here and there but most of the food has the kind of celebratory elegance that traditional hotel dining rooms promise to deliver and rarely do.
Oiji,New York,East Village,OijiÍ¢‘„‘s two chefs Brian Kim and Tae Kyung Ku grew up in Korea and met in culinary school in the United States. Years after graduation they leased a room with a lineage the former site of Dok Suni the pioneering modern Korean restaurant on First Avenue. The new place Oiji helps take the sting out of Dok SuniÍ¢‘„‘s demise. In some ways it continues its predecessorÍ¢‘„‘s mission of updating and translating Korean cuisine with respect. It has something in common too with the chef Hooni KimÍ¢‘„‘s places Danji and Hanjan; like them it adjusts traditional recipes for the small-plates era. Those places draw harder on KoreaÍ¢‘„‘s more intense flavors while Oiji aims for a little French-style nuance.
Chevalier,New York,Midtown,Chevalier calls itself a Í¢‘„‘ñbrasserie de luxe.\u201d The first person who can explain what it has in common with a brasserie wins a free choucroute garnie for 12. It looks walks and talks like a formal restaurant set up to showcase a chef Í¢‘„‘î in this case Shea Gallante. There is a lot to enjoy on his menu; some of the meats (a charcuterie plate; long slices of duck; a melting Berkshire pork loin) are so extraordinary that you can forget about the restaurantÍ¢‘„‘s identity crisis. The designer Stephen Sills gave the windowless dining room the soft glimmer of an abalone shell; itÍ¢‘„‘s pretty but it also looks like a movie directorÍ¢‘„‘s idea of a restaurant for rich people. But Chevalier is probably not meant for anybody whoÍ¢‘„‘s in the habit of reading over the check before signing it.
Chicks To Go,Queens,The Rockaways,At this Peruvian pollerÍ—‘_a (rotisserie-chicken shop) a block from the beach chicken is saturated for half a day with cumin oregano garlic soy and smoky aji panca pepper then turned over flame until the skin blisters and shimmers and the juices run mad within. Some of the meat is destined for aji gallina a creamy stew that is all the more luxurious when it spills out of an otherwise ordinary-looking empanada; or for chaufa from the Chinese chao fan (fried rice) even better made with quinoa grown in Peru. The restaurantÍ¢‘„‘s owners Leyla and Ximena Yrala are sisters from Lima. They keep a stash of the Peruvian soda Inca Kola behind the counter in cans of gold and Lake Titicaca blue.
Untitled,New York,Meatpacking District,If you can get past the name a graduate-school groaner there is nothing pretentious about Untitled. Although the restaurant is on the ground floor of the Whitney Museum of American Art it is resolutely uninterested in arty food. Michael Anthony the chef; Suzanne Cupps the chef de cuisine; and Miro Uskokovic the pastry chef use market produce flamboyantly as though they were trying to get the purse-lipped farm-to-table puritans who solemnly hand you a single baby zucchini to crack a smile.
El Rey Coffee Bar and Luncheonette,,Lower East Side,The chef is Gerardo Gonzalez a native of San Diego. He has worked out a point of view in the kitchen that is distinctly his own a blend of California-Mexican cuisine with some of the less punitive flavors from the health-food and vegan disciplines. The service is California chill. Ordering is uncomplicated. El Rey has few of the comforts of a larger more elaborate restaurant but none of the discomforts either.
Langos Truck,New York,Astoria,If you are Hungarian this is the taste of summer: langos (pronounced LAHN-gauche) a rough disc of fried flatbread cracker-crisp along the circumference and chewier toward the center where it approaches gooeyness. In its simplest form with just a swab of crushed garlic and salt sour cream and Medusa curls of Edam cheese itÍ¢‘„‘s startlingly light resting in the hand as daintily as a halo. At the Langos Truck Zsolt Prepuk a native of Budapest also serves sandwiches of Mangalitsa pork sausages in honor of the woolly Hungarian pigs bred to feed Hapsburg emperors whose lushly marbled meat is likened to Kobe beef. The price is four times the average hot dogÍ¢‘„‘s; it should be.
KikiÍ¢‘„‘s,New York,Chinatown,On the easternmost block of Division Street in Chinatown olive-green French doors are flung open on the sidewalk and small lemon trees reach up from Grecian-style urns. KikiÍ¢‘„‘s Greek Tavern the awning announces Í¢‘„‘î in Chinese characters a nod to the neighborhood. The menu is littered with words like Í¢‘„‘ñclassic\u201d Í¢‘„‘ñuncomplicated\u201d and Í¢‘„‘ñchildhood\u201d all to the good. Bread arrives slashed with char fries spiky with oregano shrimp soused on ouzo and cream. The food is rich but somehow feels good for you. KikiÍ¢‘„‘s is the kind of place where fresh carafes of water are plonked on the table even after the bill has been settled and youÍ¢‘„‘re allowed Í¢‘„‘î invited Í¢‘„‘î to idle.
Lupulo,New York,Chelsea,George MendesÍ¢‘„‘s basic idea for Lupulo was straightforward enough. The place is his take on the beer-centered Portuguese taverns called cervejarias. The American equivalent is probably a brewpub which Lupulo resembles with its hard low wooden chairs and its U-shaped dining bar stretching off into the distance. Much of the menu gets right into the beery spirit with food thatÍ¢‘„‘s left a little rough around the edges. Other times the kitchen veers off message sending out artsy swooshes and swirls that seem as if theyÍ¢‘„‘d be more at home at Mr. MendesÍ¢‘„‘s other more formal restaurant Aldea. ItÍ¢‘„‘s a little confusing but luckily the forays into fussiness are at least as flavorful as the more broad-shouldered plates. Also disorienting at least at first is the beer selection. Why open a cervejaria and turn over almost all the taps to American craft breweries? But Lupulo tracks down some of the most innovative and engaging beers in the country. Again flavor saves the day.
Rebelle,New York,Nolita,In French the name means rebel. The implied assault on tradition may be fairly tame stuff but you bump into it all over the restaurant. The unforced modern intermittently French food is inspired by one particular rebellion. The chef Daniel Eddy comes to Rebelle straight from the Paris restaurant Spring a member of the loosely bound bistronomy movement. Despite its bistronomic pedigree Rebelle wonÍ¢‘„‘t strike most New Yorkers as a huge departure. It should however strike them as a very good place to eat seasonal food that flirts with French ideas in novel ways. Another rebellion turns up in the wine list. For this modern French restaurant with an American chef all the wines come from France and the United States and many are made in the contemporary hands-off style. If youÍ¢‘„‘ve written off all domestic wines as big galumphing overpriced beasts drink a few of the lithe and inexpensive creatures Rebelle has picked up in the Finger Lakes the Pacific Northwest and the Central California Coast. There are expensive blockbusters here but there are also so many bottles just above and below $50 that itÍ¢‘„‘s easy to lose count. As at RebelleÍ¢‘„‘s sister next door Pearl &amp; Ash the prices make experimentation painless. PETE WELLS
The Handpulled Noodle,New York,Harlem,The hand-pulled noodles at this counter-seating-only restaurant come from Xinjiang in ChinaÍ¢‘„‘s far northwest. They are denser and rougher than the more widely known Lanzhou-style hand-pulled noodles found in Chinatown and fantastically chewy. Andrew Ding the owner was born in Urumqi and raised in Sydney Australia; both parts of the world share a love of lamb and that meat is what gives contour and depth to the finest dishes here. The space has an unpretentious downtown air with a raw-concrete floor vintage chicken feeders turned lampshades and the legend Í¢‘„‘ñWe Pull Your Noodle\u201d graffitied over exposed brick. A note at the bottom of the menu admonishes: Í¢‘„‘ñNoodles are best eaten immediately!\u201d Heed it.
The Happiest Hour,New York,Greenwich Village,ItÍ¢‘„‘s all about the burger at this vaguely tropical spot in Greenwich Village. There are several on the menu but the $12 Happiest Burger a blatant homage to the California-born In-N-Out burger is the showstopper. Double-pattied correctly seasoned dripping with American cheese canyon-deep with flavor from onion confit onions and a sauce suffused with mustard the burger is flat-out terrific. (The rest of the food menu? Not so much.) And it goes well with the cocktails which are better than youÍ¢‘„‘d expect from an establishment that might have hired Jimmy Buffett as its interior decorator. (The Link Ray tastes like what might happen if a mojito and a Bloody Mary had a baby and named her Celery.) There is a separate bar downstairs called Slowly Shirley which feels like a Hollywood canteen where Bogart and Bacall could have met for a clandestine date in 1944. There the burger finds its ideal companion: the cold smooth FAF martini. 
Noreetuh,,East Village,With prime ingredients carefully organized plates and nonviolent prices Noreetuh tries to tidy up Hawaiian dishes like garlic shrimp and tuna poke for their introduction to New York. The overachieving wine list is very reasonably priced; just by sticking to your budget you can drink at a higher level than usual.
The Eddy,New York,East Village,Small and modest-looking restaurant the Eddy sits on East Sixth StreetÍ¢‘„‘s disappearing row of interchangeable curry spots. The chef is Brendan McHale and his cooking can range from exceptional to somewhat forgettable. Everybody is exceptionally pleasant the acoustics are unusually friendly and the drinking is so good that the place could function as a cocktail lounge or wine bar. The Eddy is one of those restaurants that gets so many little details right that your main course can be a little shaky and you can still walk out happy.
Blanca,Brooklyn,Bushwick,When Blanca opened in 2012 a 27-course tasting menu served at a counter behind a pizzeria in Bushwick sounded like the setup to a joke. (Second prize is 30 courses.) The restaurant does have its sense of humor but about cooking for maximum pleasure it is unswervingly serious. Carlo Mirarchi the chef and owner of Blanca and its sprawling mothership RobertaÍ¢‘„‘s is a rigorous miniaturist combining a few ingredients at a time into two or three-bite compositions that are utterly complete even if they leave you wanting more. Over the years he has steadily refined his marathon tastings and nearly everything served is remarkable in one way or another.
I Love Paraguay,Queens,Sunnyside,At this rare outpost of Paraguayan cooking in New York City the best dishes are the most traditional like mbeju a meld of cassava starch milk eggs and Muenster that suggests a further step in the evolution of a quesadilla and chipa guazu a savory cake sweetened with whole corn kernels and teetering on soufflÍ—‘©. Nancy Ojeda a native of AsunciÍ—‘_n the Paraguayan capital runs the informal restaurant with her husband Carlos and her son Fabricio. Tables are surrounded by images of Paraguayan waterfalls and unpaved roads along with three TV screens most likely tuned to soccer. I Love Paraguay started out as a bakery and Ms. OjedaÍ¢‘„‘s desserts assembled in a case at the back are still the main attraction particularly mousse maracuja voluptuous with passionfruit condensed milk and media crema with a maraschino cherry on top like a little heart.
Mission Chinese Food,New York,Lower East Side,Idiosyncrasy is to Mission Chinese Food what the BloominÍ¢‘„‘ Onion is to an Outback Steakhouse. In the first New York location most of the idiosyncrasies looped around Sichuan cuisine. Many of the old dishes marked as much by a freethinking approach as by the burn and tingle of chiles and Sichuan peppercorns are still on the menu. But this kind of scorched-tongue cooking has become a minor motif. Fewer than a third of the items are marked by red flames blazing from what looks like a pair of cheeks and not the ones you kiss your grandmother on. The rest is not just less fire-spewing but more varied than before drawing from regions beyond Sichuan and countries beyond China.
Okonomi,Brooklyn,Williamsburg,Japanese breakfast is the specialty here served until afternoon as a set menu that includes rice miso soup pickled vegetables a choice of fish and two amuse-bouche-size sides. For an additional $2 you can add the small wonder of an onsen egg modeled after the Japanese tradition of cooking eggs in the sulfurous waters of hot springs which keep them at constant low heat until they emerge with the classic ratio of loose yolk and stable white inverted. Tucked inside a low clapboard house on a tree-shaded street the quiet dining room feels almost atemporal. Chopsticks rest on oyster half-shells and worn stones. Jazz wanders as if out of a Haruki Murakami novel. You leave not quite full and happy.
Punda Tibetan,Queens,Sunnyside,Tenzing TseringÍ¢‘„‘s rÍ—‘©sumÍ—‘© could be a case study in culinary diaspora. He grew up as a Tibetan refugee in northeast India He cooked at Tibetan restaurants in Moscow and Siberia at KathmanduÍ¢‘„‘s only vegetarian hotel and at the high-end Indian restaurant Tulsi in Manhattan and was the personal chef to the president of the Russian (and predominantly Tibetan Buddhist) republic of Kalmykia. Happily his food is now available to the common people at his two restaurants in Queens: GangJong Kitchen a cramped Woodside storefront equipped with two induction burners and no oven and Punda Tibetan which has four times the space a backyard and a proper kitchen for more ambitious cooking. The menu with just three dishes over $10 is nomadic in spirit but the best dishes Í¢‘„‘î momos (dumplings) soups of remarkable clarity beef sautÍ—‘©s of alternating brightness and heat Í¢‘„‘î are the ones identified as Tibetan.
Aquavit,New York,Midtown East,Aquavit has been open since 1987 in which time it made the reputation of one Marcus Samuelsson and navigated a move from a light-drenched atrium with a defining waterfall to a more prosaic space in a pink-granite tower in the East 50s. It has struggled recently to find the right tone in its dining room which still isnÍ¢‘„‘t as comfortable as it could be. Its kitchen is soaring though. Emma Bengtsson the chef cooks modern Scandinavian cuisine without aping the fashionable Nordic tropes. Her cooking is as complex as it is finely tuned.
CrÍ—‘_pes Canaveral,New York,East Village,At this takeout stand the size of a carnival ticket booth Jean-Christophe Henry makes Breton crepes from a family recipe that dates back to the late 19th century. Unlike in eastern Brittany where savory crepes called galettes are thick and made with all-buckwheat flour his are thin and cut with a little wheat in the style of western Brittany where he grew up. They are still classically sooty in appearance with pockets of shadow like the seas of the moon but remarkably light tasting of earth and air at once. Mr. Henry uses two griddles Í¢‘„‘î one for pouring the batter the other for filling it Í¢‘„‘î to ensure the smoothest circles possible and shifts crepes between them without a flip. He encourages customers to eat inside the adjacent William Barnacle Tavern to which CrÍ—‘_pes Canaveral is attached a low-key Celtic-leaning bar that was once the taproom of a Prohibition-era speakeasy and still looks it.
Javelina,New York,Gramercy Park,Javelina bills itself as New YorkÍ¢‘„‘s Í¢‘„‘ñfirst authentic Tex-Mex restaurant.\u201d If this is authentic itÍ¢‘„‘s a wonder that anybody in Texas ever goes out to eat. You may get what you ordered or you may get what somebody else ordered. The chile con queso tends to be cold but at least the water is warm. The flour tortillas are the best thing about the restaurant. They are very good.
Kottu House,New York,Lower East Side,Kottu House doesnÍ¢‘„‘t abide by the usual tropes of New York CityÍ¢‘„‘s Sri Lankan restaurants many of which are clustered on Staten Island where they cater primarily to a population of some 5000 Sri Lankans. A devilÍ¢‘„‘s face with goggle eyes and swollen tongue is projected in random glow-stick colors above the bar to the low pulse of trance music. On the wall demure black-and-white ancestral portraits are mixed with snaps of friends clowning for the camera. Chelaka Gunamuni a young man in stubbly beard and tattoos (one a birthday gift from his wife) tends to the front of the house while his mother Sandya Í¢‘„‘ñMadu\u201d De Silva cooks a short menu focused on kottu a Sri Lankan street food that tosses together tatters of roti scrambled eggs and long-simmering curry.
Fung Tu,New York,Lower East Side,In the headwaters of Orchard Street just off East BroadwayÍ¢‘„‘s warren of Fujianese places the chef Jonathan Wu plunders Chinese traditions to weave a modern cuisine of his own imagining. A two-year veteran of Per Se his cooking relies heavily on nuance and as the restaurant has matured the accents have been filled in. There is plenty of power in the Sichuan pork sauce in his china-quiles a brunch dish that stays in its pajamas until dinner rolls around. The template is ma po tofu but the bean curd has been replaced by an egg custard so smooth and silky it almost parts itself when your spoon gets close. Jason Wagner Fung TuÍ¢‘„‘s drinks overlord and general manager has clever ideas about what to pour with Mr. WuÍ¢‘„‘s subtle oblique cooking. He is worth listening to when he suggests a Gran Barquero amontillado that tastes like toasted hazelnuts dipped in caramel for the thin-cut fried pork chops with pickled mustard greens a Chinatown classic here given a tangy syrupy sherry glaze.
Raclette,Manhattan,East Village,At this tiny storefront great half-wheels of cheese sit in metal grips under quartz heating lamps. The melting surface is scraped down tableside over a plate of cornichons pickled pearl onions roasted potatoes and thin purplish-red slices of air-dried beef. Raclette is the name of both the cheese and the dish which originated in the Swiss Alps in the 13th century. Dining here with only eight seats and no liquor license Í¢‘„‘î so no fendant the crisp Swiss white wine considered a prerequisite for raclette consumption Í¢‘„‘î is not exactly like lounging in a larchwood chalet after a day on the pistes. Still it is deeply satisfying to watch the cascade of cheese and to dig out the vegetables and meat below as if eating fondue in reverse. LIGAYA MISHAN
HanYang BunSik,Queens,Flushing,HanYang BunSik started out as a tented stall outside the 24-hour HanYang Mart in Flushing Queens. Now it occupies a proper corner of the market with wooden tables and benches packed efficiently back to back. Dishes fall under the Korean category of bunsik or snacks including blood sausage embedded with sticky rice kabocha porridge and a skewered hot dog with an airy crust of panko like a corn dog from the fairy realm. Many are more substantial than snacks in the Western definition a reminder of how far we lag behind other cultures in this culinary genre. Late at night a sense of nostalgia takes hold as men in suits hunker over glasses of soju beside walls papered with photographs of Korean pines.
Mu Ramen,Queens,Long Island City,Of all the restaurants in the city where you are expected to make loud slurping noises while you eat Joshua and Heidy SmooklerÍ¢‘„‘s Mu Ramen may be the most civilized. The 22 seats half-fill a space that could easily hold more and if you have to wait for one of them (after an experiment with reservations the place is first come first served) the deep built-in benches by the front door are a pleasant change from say the steps in front of Totto Ramen in HellÍ¢‘„‘s Kitchen. Mr. Smookler trained in the meticulous rigor of Per SeÍ¢‘„‘s kitchen and has a Keller-like drive to find a better way. This usually means a harder and more costly way. When his supply of pork for tonkotsu broth suddenly dried up he went to the Midwest and persuaded nearly 40 farmers who raised Berkshire hogs to start a cooperative. Then he arranged for a small slaughterhouse to butcher the four cuts of pork he wanted and ship them to Long Island City where he would cook 120 pounds of bones at a raging boil for 16 hours. If $15 seems a fair price for those ingredients the conviction only grows once you start eating. 
East Wind Snack Shop,Brooklyn,Windsor Terrace,East Wind Snack Shop is a modern homage to ChinatownÍ¢‘„‘s bygone working-class coffee houses cramped dingy storefronts offering unlimited tea and limited food with plastic fans stuttering above strategically hung fly paper and a lot of (happy) yelling between tables. Chris Cheung the chef grew up half in Brooklyn and half on Mott Street where his grandparents lived. He trained in high-end kitchens but insists that heÍ¢‘„‘s not trying to elevate the food here. Nevertheless the pot stickers are packed with dry-aged beef from DeBragga; Niman Ranch pork is ground in-house for dumplings; and foie gras pÍ—‘¢tÍ—‘© is sealed inside house-made steamed buns of impeccable pallor.
MintonÍ¢‘„‘s ,New York,Harlem,When assessing the role that the soul food at MintonÍ¢‘„‘s Playhouse played in the birth of bebop in the 1940s it is worth keeping in mind that most of the testimonials to it come to us from hungry jazz musicians whose meals were on the house. Still African-American music and cooking were a potent mix at MintonÍ¢‘„‘s once and this was one reason to pay attention to the revival of MintonÍ¢‘„‘s as a jazz supper club. The menu now looks toward Lowcountry cuisine which carries lasting imprints of West African and Caribbean cooking. There are direct quotations from South Carolina like smooth she-crab soup and shrimp on fat fluffy grains of grits. And there are riffs on the African theme including collards that are cooked so they keep some of their crunch and dressed with a spiced peanut sauce. The kitchen is a little unpredictable and the success of dinner at MintonÍ¢‘„‘s depends on how much you like to hear jazz musicians skittering around a tune toying with a rhythm tying and untying knots of harmony.
Casa Del Chef,Queens,Woodside,Casa Del Chef is not an Ecuadorean restaurant despite the Andean pan flutes on the soundtrack and the heritage of its chef and owner Alfonso Zhicay who grew up on a sugar-cane plantation in Gualaceo. The food Í¢‘„‘î the kind of thoughtful farm-to-table cooking now standard in other parts of the city but still a rarity in this neighborhood Í¢‘„‘î is rooted in the country Mr. Zhicay now calls home. After immigrating to the United States in 1994 he spent more than a decade working with Dan Barber eventually rising to the position of head catering chef at Blue Hill at Stone Barns. Mr. BarberÍ¢‘„‘s influence is evident not only in Mr. ZhicayÍ¢‘„‘s attention to season and provenance but also in the way he lets each ingredient speak for itself gently encouraging rather than imposing and hastening flavors.
Santina,New York,Meatpacking District,From the team behind Dirty French and Carbone an Italian ode to eternal sunshine inside a glass-box building under the High Line. Oranges grow on a tree tropical flowers gush from urns above the bar and servers wear jelly-bean colored polo shirts with slim-waisted chinos like Dean Martin reaching for his nine-iron at Pebble Beach. Almost all the food pulses with the bright refreshing flavors we crave in hot weather: jolts of chiles sparks of citrus fistfuls of fresh herbs. Most of it particularly toward the top of the menu is charming and playful in a way thatÍ¢‘„‘s hard to fight.
Estiatorio Milos,New York,Midtown,Since 1997 Milos has served Greek cuisine particularly whole fish and shellfish kept on ice near the open kitchen to loyal customers who can afford the forbidding prices. It is one of the few places in town specializing in imported species like red mullet gilt-head bream spiny lobsters and carabineiros luxuriously sweet and supple red shrimp. The kitchen does well with other items too including excellent double-cut lamb chops and a signature appetizer of thin sheets of fried zucchini and eggplant with tzatziki but the prices can read like a long string of typographical errors.
Limani,New York,Midtown,LimaniÍ¢‘„‘s menu is Greek and its strength is formidably expensive seafood which up until the moment it is laid on the grill can be found spread out on a small mountain of ice at the edge of the open kitchen. The selection and quality can make a seafood lover dizzy but LimaniÍ¢‘„‘s finesse at the grill does not always carry through to the rest of the kitchen. The striking modern dining room with blindingly white marble and an infinity pool in the center will remind some diners of the Aegean; others will see South Beach.
